Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2774,887.2765,663.309,0.46000814,855.67236,666.8219,0.32321137,872.9129,1608.5253,0.18000476,1055.8204,671.41473,0.23876797,832.9534,647.93756,0.43024376
2775,890.1512,663.8662,0.47582316,855.136,666.1743,0.30288053,871.73566,1607.4232,0.18834586,1057.0339,648.2592,0.24877635,833.763,646.9216,0.43726128
2776,888.67206,664.8725,0.41265127,855.196,666.4711,0.25487372,871.67645,1607.443,0.21207267,1057.2709,681.2709,0.24444346,833.60144,646.6746,0.4178548
2777,884.8462,657.7,0.1892539,855.03644,666.7234,0.14499554,869.69495,1607.9728,0.2085646,1056.839,679.8915,0.27384275,833.5454,646.75903,0.5427795
2778,866.8407,642.1394,0.17323892,370.64902,1504.3967,0.11585455,872.0861,1610.1572,0.16920364,1057.7328,682.3695,0.23649476,833.6467,646.2714,0.53484553
2779,862.6828,646.77344,0.07640668,859.94385,626.2994,0.18766893,819.58966,655.84045,0.23073672,1056.4357,694.20294,0.26233417,834.32965,643.7325,0.293114
2780,819.5403,635.2966,0.100883275,786.1386,626.2931,0.1306804,869.6999,655.41583,0.35066658,1056.4628,695.6824,0.28232127,819.93884,640.2808,0.22379847
2781,1053.2161,467.88705,0.057276204,780.9263,611.5265,0.08370315,850.0501,649.9388,0.5517656,810.0655,629.73334,0.33136013,784.78973,607.706,0.19771978
2782,472.53723,1491.0311,0.07195918,867.8938,737.70184,0.1777481,855.3999,652.9542,0.4078274,810.0483,624.92035,0.47975737,772.0439,596.0184,0.1802645
2783,472.49362,1490.8932,0.060008507,883.8127,640.0322,0.3351421,857.14667,658.876,0.3891753,801.955,614.6991,0.46441925,755.01215,586.9644,0.18565641
2784,472.1287,1490.8525,0.05775801,914.08496,641.5294,0.25471315,854.6343,653.81995,0.47517112,801.1388,610.34827,0.41457066,476.62796,1492.3877,0.10238972
2785,472.76245,1490.7303,0.062343396,915.9545,637.35004,0.15637027,855.1438,653.369,0.4431816,797.5546,608.5081,0.42077824,758.728,581.2943,0.15308227
2786,904.3188,721.5407,0.33371136,884.3776,690.067,0.2967679,843.4903,640.0996,0.5513212,795.72687,603.0532,0.43591616,758.6554,579.51215,0.1887895
2787,912.7005,721.20044,0.2702709,887.3891,681.5611,0.5512796,848.2066,636.85236,0.57977235,793.9201,599.33734,0.39124292,755.70386,576.6134,0.23576829
2788,925.5436,723.04913,0.4584531,891.0516,678.2048,0.67213136,848.2075,633.7904,0.5691256,792.0904,599.1463,0.38918793,747.84607,571.926,0.2846427
2789,942.5965,720.2722,0.15262395,895.9213,676.8098,0.68833196,848.29663,632.1815,0.55675256,792.31604,597.108,0.40067238,745.1144,572.1477,0.29080176
2790,1052.1444,466.15472,0.106506415,898.6363,673.4326,0.5734091,847.91595,630.45074,0.6069883,791.97504,597.0018,0.400312,743.8093,573.7491,0.44331682
2791,1052.6986,466.06726,0.09980251,896.8519,670.6435,0.5985309,847.3185,629.1023,0.6321308,792.5831,596.2026,0.4223041,740.70197,573.5144,0.32640654
2792,1052.8369,466.28372,0.0922594,897.8897,669.0381,0.5353122,847.1048,627.8969,0.6628103,790.35004,596.0819,0.4664292,740.1522,577.3212,0.38544235
2793,940.6873,706.5564,0.14702679,897.27875,667.47626,0.5736543,848.3853,626.9797,0.5855541,790.8355,596.8347,0.5144516,734.354,571.0824,0.18003953
2794,949.66473,718.3732,0.23468697,896.5771,665.0425,0.59420633,848.02856,625.22516,0.5666186,789.60785,597.1921,0.5251017,730.5879,572.884,0.26853147
2795,959.82556,701.23224,0.09087898,891.52716,657.746,0.57220244,839.74677,619.5518,0.60658187,788.9856,597.68896,0.5221045,721.9812,571.00793,0.2918703
2796,953.0565,700.143,0.4145302,888.2229,654.368,0.65505534,836.7172,616.11505,0.6288283,786.132,595.59906,0.43608454,718.6497,572.60284,0.2902124
2797,944.991,704.31396,0.4473231,885.5778,651.67053,0.6669144,830.13983,615.04694,0.6228702,773.98,588.755,0.53612745,719.9782,569.2235,0.55939436
2798,930.6109,699.42535,0.24920279,882.80554,645.84515,0.6914684,829.34064,613.9203,0.684487,771.3775,587.68414,0.5797075,721.23016,571.0048,0.7445073
2799,930.09766,696.4633,0.5477605,878.7955,641.8034,0.6390356,829.2665,610.78864,0.7257359,767.7184,588.31635,0.60210115,712.1342,570.6287,0.6179833
2800,927.0785,694.07404,0.5107125,878.89606,639.91046,0.568454,819.9066,604.66156,0.68916357,760.6958,587.5173,0.56205165,703.268,572.0618,0.3873976
2801,922.3529,688.7634,0.53374386,877.7978,633.4346,0.54308,819.1453,601.92725,0.63615525,754.8854,586.16473,0.5944443,700.7375,573.14166,0.45333448
2802,916.18695,659.0638,0.261635,872.9667,622.3006,0.5353811,809.9196,595.2665,0.63689685,755.8435,584.3516,0.6471015,701.28424,574.2787,0.51776356
2803,965.15533,647.54297,0.46256185,871.41364,615.6577,0.7327103,815.8936,595.6921,0.6494023,754.547,581.1256,0.578757,698.2754,579.11816,0.43884173
2804,930.3698,659.4432,0.5504709,870.2985,612.72516,0.6760159,807.92535,588.22076,0.6090553,752.8424,579.8427,0.58343214,693.683,579.7998,0.40297094
2805,938.10443,654.0546,0.35387465,869.0403,609.19464,0.6537725,805.0403,582.1693,0.603331,750.5149,579.4028,0.6148917,685.6115,581.3462,0.3886748
2806,948.6602,644.28125,0.57308906,866.89636,605.4304,0.6690744,805.7418,579.71423,0.583093,749.01306,578.5744,0.61657286,682.3787,578.92993,0.38576263
2807,938.20435,642.65326,0.60436547,865.5245,601.1707,0.6308203,805.6208,579.2254,0.58018404,747.156,577.8388,0.5776634,677.3223,580.4147,0.36564988
2808,928.9246,642.16656,0.9165793,863.646,599.9694,0.5847383,804.91003,579.942,0.5529104,733.3272,579.7848,0.5969701,680.176,580.76105,0.3748575
2809,923.5462,637.6904,0.9091807,866.0982,601.9432,0.6198691,804.4275,581.0083,0.50309104,731.72766,579.75146,0.5741478,680.1685,580.90106,0.35474327
2810,920.4983,637.1703,0.98666555,867.1632,604.18945,0.6391743,805.9207,581.32294,0.48128375,731.8351,580.2079,0.58633614,681.82733,583.4339,0.41289464
2811,922.5771,638.9686,0.7624664,865.3536,606.0337,0.66013795,803.5416,581.14374,0.4609079,731.93915,579.37585,0.5546257,680.9931,584.16144,0.4144313
2812,928.7213,646.21704,0.7183379,865.68134,606.7243,0.6750295,802.23834,580.7783,0.5398615,723.41907,580.2242,0.5629818,672.8514,582.6917,0.33338013
2813,928.47894,647.1363,0.69364154,863.3595,603.98865,0.6575546,802.5966,581.4958,0.5373192,724.9717,579.1959,0.5641459,669.7499,581.5848,0.35177213
2814,926.39954,637.7942,0.78965634,860.0791,602.3865,0.6860962,790.50195,578.75476,0.58446014,721.7197,578.89844,0.57641333,671.5581,581.1746,0.37068722
2815,916.6466,636.9104,0.8715124,858.8894,602.09625,0.6835404,802.37555,582.5634,0.5636831,719.4599,579.66205,0.5690111,663.5667,578.1496,0.32838467
2816,908.2116,629.5404,0.84444195,858.73804,602.7697,0.6398015,803.1723,583.8471,0.5301969,730.1972,580.1893,0.5533873,663.8471,575.02844,0.37849343
2817,904.86035,630.52686,0.36158016,858.4873,602.5074,0.63559604,803.10095,583.533,0.59271854,716.2106,583.72815,0.556424,651.9314,570.9094,0.41778225
2818,905.92365,632.1805,0.35222468,856.6577,601.3053,0.6525022,802.4136,582.97943,0.583486,716.8613,584.9386,0.5668254,650.8493,571.5178,0.457366
2819,918.53375,631.448,0.6009544,855.27484,600.33356,0.7034573,800.788,581.4917,0.6282822,708.3505,585.2122,0.52792466,648.15955,568.2525,0.48809925
2820,926.25494,633.86835,0.72287625,856.66815,599.5502,0.6651956,800.261,581.4568,0.6268514,711.16705,584.1484,0.57399154,650.85803,565.9502,0.5493061
2821,934.192,625.8488,0.5406174,853.0823,595.0343,0.7118011,793.87915,578.8403,0.567161,705.1174,585.4259,0.6117886,647.4585,565.54736,0.56424296
2822,922.6174,614.2208,0.6959779,845.6683,594.7755,0.69731617,785.31555,577.99255,0.52284056,704.7062,585.32086,0.60287255,648.9355,565.22656,0.48655045
2823,911.5914,616.10095,0.94709635,833.8322,592.9661,0.7255494,769.1994,578.21344,0.5181196,705.9574,584.2924,0.61333084,648.14264,565.46313,0.5561748
2824,907.8785,612.6043,0.9024431,826.10455,592.07526,0.7409,767.66797,578.90826,0.52900785,696.8303,584.96875,0.46132034,647.55,564.46326,0.31209293
