Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
5127,695.2322,871.5963,0.79821473,643.335,845.26984,0.6481705,587.25726,831.2574,0.6755269,529.3525,823.9111,0.64260316,470.24368,822.49445,0.6629035
5128,696.6468,876.30914,0.917869,644.3503,846.26605,0.6540697,587.1951,831.47156,0.7125375,530.2724,824.4779,0.64962745,470.35117,822.2296,0.64852816
5129,705.26575,878.25616,0.8415572,644.4385,845.6712,0.6506878,587.8041,831.07117,0.7365236,521.60815,824.6913,0.695444,468.59628,822.4762,0.66430116
5130,712.8952,877.0971,0.84397805,644.24207,847.4977,0.5974432,598.09753,834.3265,0.78801614,528.14813,824.0569,0.64696854,466.93304,821.97864,0.70211965
5131,709.88916,877.2015,0.7566916,644.2564,847.76025,0.6144293,591.68585,831.138,0.80817765,529.09283,824.3811,0.67827314,468.06485,823.09766,0.74579954
5132,702.4947,876.6317,0.9721952,643.41656,846.3118,0.6333537,591.49286,830.51117,0.8217497,527.54535,824.50757,0.66070604,466.3372,824.90326,0.7639571
5133,697.9616,876.5048,1.0,643.54974,845.43604,0.6400574,591.2145,830.52625,0.80132806,526.70917,824.77,0.65331423,465.10815,826.3054,0.7415458
5134,701.94806,875.2446,0.959689,644.7695,845.2188,0.61463034,590.9416,829.51624,0.83996445,526.9383,824.4273,0.68150026,465.42184,826.8455,0.74017227
5135,714.6686,875.2384,0.9018797,648.02527,843.95844,0.6741927,592.27893,829.0334,0.7999881,527.2434,824.54095,0.668291,464.3067,827.20935,0.77082145
5136,719.959,875.4777,0.93738353,650.95624,842.2033,0.6954459,595.7392,830.3137,0.7944828,527.42175,824.64606,0.6742679,460.04123,827.69666,0.7846653
5137,720.01733,876.8221,0.9159447,651.7681,841.6759,0.6910448,597.0654,830.1998,0.7650098,526.2904,824.65155,0.6693684,459.21982,828.4588,0.7471536
5138,717.64166,872.0429,1.0,650.2493,841.42584,0.7239565,595.5638,828.88904,0.8086196,526.542,825.54803,0.6760932,459.12946,830.1677,0.79239464
5139,716.1805,866.82697,1.0,649.4574,840.8755,0.71204114,596.7521,828.98566,0.82675207,527.94684,826.5846,0.69531834,459.82336,831.8088,0.7946779
5140,713.2749,863.6296,1.0,648.91205,840.6838,0.71954626,596.7429,828.8556,0.84978414,528.1838,827.48004,0.71555924,460.36102,833.14526,0.7914462
5141,718.4796,862.84436,1.0,654.0724,840.01465,0.75976175,598.3871,828.4589,0.8176211,528.4193,828.13635,0.7239334,462.00247,833.9185,0.7749661
5142,731.18066,859.4834,0.8738252,657.19354,839.3763,0.7373445,597.9593,828.5869,0.77981824,527.2076,827.31104,0.7082377,460.73447,834.63007,0.7793029
5143,734.5544,857.53845,0.8331881,657.6517,839.104,0.72660166,597.6092,828.1387,0.7527692,525.5853,827.10767,0.6869604,461.74158,835.19226,0.7557894
5144,729.70044,856.2144,0.92294306,656.5416,838.80084,0.7312607,597.26666,829.9107,0.74087334,524.8123,829.6695,0.68430316,461.73624,836.33,0.7137664
5145,728.6043,856.53595,0.9245211,656.14355,838.6661,0.74923545,597.7819,829.6367,0.76639557,525.1586,829.92957,0.6995216,458.13135,836.76215,0.6860129
5146,728.18317,857.5592,0.941645,654.5156,838.88416,0.75017095,594.8522,829.025,0.78440803,525.09784,830.2484,0.71570975,462.9735,836.124,0.6890454
5147,728.40967,858.19965,0.934796,655.50433,839.5947,0.77119416,594.4308,829.3949,0.7967217,524.89716,830.4279,0.71059877,462.79257,836.20013,0.6868908
5148,728.9415,857.3658,0.926704,655.27814,839.8819,0.7761535,595.84534,830.865,0.79129374,526.1462,830.61743,0.7089959,463.7594,836.3364,0.67669547
5149,729.8163,856.6461,0.9156691,654.36774,839.72614,0.75024146,595.11847,829.43896,0.8488723,525.6461,830.99927,0.72423947,465.5537,837.1066,0.65546286
5150,729.2781,856.9366,0.9099117,654.66425,840.35315,0.6988007,597.04956,831.8184,0.8473886,524.9631,832.0206,0.72445405,465.39264,837.1777,0.66316825
5151,728.11475,856.49835,0.9085556,654.1441,840.8982,0.6668362,597.1889,831.8301,0.8629773,525.2095,832.55255,0.7469343,462.65485,838.1726,0.67546266
5152,727.96234,856.6261,0.9187457,654.42694,840.73676,0.6136976,596.89307,832.1017,0.8836957,525.53375,833.24304,0.77370405,462.24722,838.5612,0.6773333
5153,727.9259,857.1621,0.903832,653.20966,842.13446,0.66904676,598.8848,833.7891,0.8771833,527.0247,833.60156,0.76832694,461.75528,839.5494,0.66810286
5154,727.72437,857.1447,0.91119134,653.9748,842.5947,0.663449,599.62494,834.11743,0.857603,525.72864,833.5691,0.7435916,461.00528,839.7703,0.6794818
5155,726.66833,857.6347,0.8449728,653.61523,842.89294,0.6154465,598.1357,834.4374,0.80492526,524.8255,834.6925,0.7155084,461.15424,840.83453,0.6726105
5156,720.72516,859.3332,0.9501059,653.7698,842.7941,0.5704461,595.78534,835.12354,0.750852,516.9884,837.18475,0.72309864,457.1833,841.3272,0.55112296
5157,723.8899,855.36566,0.8276353,647.6302,842.5485,0.6470194,583.96423,838.3495,0.76515275,516.3667,838.5299,0.7710699,462.86362,842.9513,0.6050926
5158,718.61273,855.66156,0.8359824,643.0302,845.9163,0.6298263,577.7547,843.4532,0.74028677,515.44305,839.98615,0.7727802,466.94766,845.2932,0.70119673
5159,698.63586,702.6582,0.84484935,631.35455,847.6197,0.63911223,568.4249,844.0806,0.6952229,516.17,841.13104,0.7362835,469.61148,847.73975,0.6724664
5160,692.0263,855.7286,0.8027942,623.2652,849.64453,0.65561724,566.25604,848.52356,0.67327094,518.8404,845.2648,0.64063674,470.47913,849.8335,0.6630161
5161,689.5959,854.3069,0.7392763,620.69653,851.33734,0.64130956,566.09607,849.3976,0.6303348,519.8959,846.82886,0.5863363,470.29968,850.6854,0.6067157
5162,684.1278,854.9817,0.8009883,612.1928,852.30164,0.6030792,559.5208,847.50085,0.65008885,516.87,846.9838,0.6527876,470.02606,850.76154,0.63007367
