Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2824,469.7884,1007.52844,0.8739876,398.7595,974.32104,0.7269551,331.86108,956.9338,0.8666814,279.8254,955.4824,0.7175912,212.89911,953.17596,0.57372284
2825,463.6566,1008.11346,0.9027481,397.38657,973.5623,0.78020674,332.37762,956.67755,0.84762067,280.49097,955.05597,0.68676203,212.93283,952.8969,0.565804
2826,459.0466,1006.2848,0.945272,396.16684,973.0761,0.7992843,331.8783,955.6572,0.8670834,278.7932,954.66016,0.70250297,211.51419,952.64496,0.5684956
2827,457.04892,1005.17883,0.82968086,394.84088,972.57477,0.8275125,330.70407,955.1302,0.85199714,278.693,954.5124,0.7078121,211.61998,952.39636,0.5749125
2828,456.5403,1006.6462,0.80363464,393.57925,972.2566,0.8306919,330.16855,955.5482,0.8770299,279.22607,954.45667,0.69751316,211.81316,952.46173,0.5739157
2829,457.6778,1006.6537,0.76822,393.60968,972.08734,0.8536389,329.81488,955.88824,0.8820863,279.43695,954.0043,0.69731224,211.3102,952.43085,0.5710622
2830,459.65283,1008.116,0.69742674,393.51447,971.69617,0.8666297,330.41696,956.15643,0.9149491,280.9375,953.9211,0.6610797,212.33826,952.0632,0.549553
2831,472.41095,998.0295,0.59555686,392.74936,971.4336,0.84202635,330.8583,955.8752,0.89588356,281.16382,953.403,0.63642585,212.49194,951.8358,0.57410526
2832,463.99277,999.4834,0.6646783,391.23315,971.1961,0.7865849,331.25766,955.41254,0.9085335,280.2359,953.00964,0.6565431,212.00562,951.5674,0.59693396
2833,452.41663,997.57184,0.6600936,389.31064,971.2374,0.7339813,332.7311,954.78125,0.9405624,281.98444,953.1523,0.64798033,212.7097,951.1698,0.59755594
2834,441.66446,991.4099,0.7301646,386.477,970.7752,0.68658566,333.56412,954.3172,0.9085433,281.33908,953.2775,0.648585,213.0561,950.83,0.5771136
2835,455.88074,979.0578,0.41391796,387.70847,967.4039,0.56022364,331.31683,957.37244,0.72904575,275.92938,954.1287,0.6055004,186.27448,947.49945,0.4842311
2836,468.19778,941.6795,0.375844,378.42667,963.17865,0.3836457,332.17984,961.97394,0.45613313,271.29007,953.4359,0.46842355,211.30763,937.59174,0.29461816
2837,263.42728,1755.4331,0.2005951,389.70035,964.05615,0.2039475,331.96732,970.07,0.36557558,274.4398,954.0983,0.41347492,374.55896,960.4911,0.13724583
2838,263.29086,1755.4845,0.18847871,397.341,958.2785,0.16109765,341.3225,973.8736,0.5590268,289.17273,962.0507,0.2887569,384.68973,952.8592,0.2742886
2839,263.05792,1756.3269,0.19061914,373.49658,981.7603,0.25832748,331.97144,970.99133,0.5837119,265.6809,935.80273,0.25665724,404.12244,966.73883,0.2962002
2840,422.99014,1004.655,0.3519177,365.5669,990.83545,0.61306655,323.67834,964.32086,0.57683927,287.80765,943.20905,0.23763269,255.00407,894.6651,0.25041664
2841,431.4398,1016.33954,0.63978475,367.87723,995.3697,0.62922037,328.62646,959.8647,0.46634588,294.424,927.5386,0.33639428,262.79498,881.1262,0.2984693
