Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2845,352.83704,962.61584,0.7340434,279.5498,980.6985,0.6879248,216.35117,998.8482,0.85140413,156.00462,1016.79236,0.63764817,64.81939,825.6782,0.080097325
2846,352.34982,962.61584,0.74156207,279.01776,979.9698,0.6422878,215.87773,998.8482,0.85714954,155.55864,1016.79236,0.6295934,53.881496,827.02216,0.061199095
2847,351.22003,962.61584,0.65505934,278.14554,978.82965,0.6323852,215.87773,997.8177,0.85631627,155.41191,1016.6923,0.59559387,53.881496,827.02216,0.124050125
2848,345.23288,962.61584,0.62202144,277.70282,978.82965,0.64232624,215.87773,997.7722,0.8362184,154.6541,1016.6923,0.562741,53.881496,827.02216,0.13383809
2849,340.4854,962.9667,0.6511803,277.70282,978.7852,0.7070876,216.37364,996.2253,0.84509915,154.52075,1016.78394,0.6331003,54.850887,828.59296,0.06349171
2850,340.4854,962.9667,0.7347073,278.14554,978.7852,0.6993231,217.2945,996.1451,0.8360464,152.21237,1016.78394,0.54777724,55.91824,829.04016,0.06141199
2851,340.4854,962.40405,0.6133474,278.3728,978.6445,0.6932961,218.12398,996.0109,0.76184964,152.21237,1016.56793,0.515705,86.692726,990.5373,0.047764473
2852,340.83557,961.9411,0.59574556,278.94644,978.616,0.70355994,218.12398,995.8044,0.8052767,152.21237,1016.56793,0.53718126,110.88831,1017.4183,0.040994078
2853,341.99582,960.8231,0.58496857,279.67554,978.48724,0.7214847,218.12398,995.89685,0.8004595,153.7858,1016.5315,0.55152774,110.88831,1017.4183,0.045555934
2854,343.7828,958.92163,0.5251112,280.95737,977.98285,0.70399857,217.48491,995.89685,0.7848191,155.98053,1016.5315,0.5355083,111.01502,1017.7285,0.054452546
2855,346.9125,957.9573,0.5406989,280.95737,977.5804,0.6907121,217.32205,995.8044,0.78318524,155.98053,1016.5315,0.54603285,110.88831,1017.4183,0.068920694
2856,350.7669,957.9573,0.65284926,280.95737,977.1529,0.68088937,217.25008,995.56555,0.78789854,155.98053,1017.84485,0.51634496,77.213135,988.0883,0.045850564
2857,350.7669,957.9573,0.5449003,280.42136,976.029,0.6761801,217.24652,994.7655,0.7683892,155.14977,1018.1793,0.513129,76.913185,987.4578,0.08746059
