Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,Tail_dist,Body1_dist,Body2_dist,Body3_dist,Head_dist,avg_dist_vel,jittery,distance_surface,avg_acc,angle
4831.0,150.65685,-283.85153,0.5016461,154.17433,-267.10486,0.16374758,151.90482,-217.87459,0.2624546,9.171888,-541.2979,0.21382916,159.21298,-228.62817,0.2904092,,,,,,,0,-228.1034,,81.19279479980469
4832.0,152.99727,-283.06018,0.4961894,149.57724,-215.42966,0.17194134,154.765,-218.23032,0.31252548,8.99509,-538.87537,0.24682692,159.85065,-228.58055,0.24956223,2.4705908,51.87928,2.88222,2.4289892,0.63944066,7.992957,0,-217.1872,239.7887,82.83001708984375
4833.0,37.012802,-531.1987,0.31844297,85.24698,-559.581,0.13304105,154.77937,-216.7441,0.31353176,8.940121,-538.85254,0.25786006,159.75783,-227.94214,0.30717927,273.90717,350.11215,1.4862908,0.059520178,0.64512473,101.11056,1,-335.2157,3033.3167,67.96405029296875
4834.0,37.084347,-531.2143,0.2994265,85.31628,-559.5063,0.12728918,153.64487,-215.96915,0.18687014,154.29337,-218.2628,0.24994566,160.12523,-227.6056,0.325632,0.07321799,0.1018986,1.3739173,352.0019,0.49823466,74.3676,1,-270.86362,2231.0278,67.9391860961914
4835.0,37.149693,-531.9494,0.29983747,153.3356,-275.8095,0.11163892,156.24275,-214.46451,0.18695791,154.42728,-219.12463,0.28823757,160.12086,-227.91377,0.34215033,0.7380061,291.737,3.0021567,0.87217313,0.3081974,27.431637,1,-214.20435,822.94904,67.97848510742188
4836.0,95.74708,-494.93723,0.3146736,153.7003,-278.34314,0.15882298,155.92859,-279.69058,0.30491525,9.149015,-541.27747,0.26739904,160.14555,-228.39886,0.41794363,69.30768,2.559744,65.22683,353.39526,0.48572004,93.461754,1,-284.88144,2803.8525,76.41704559326172
4837.0,162.31425,-277.9194,0.37366337,158.12088,-281.85626,0.13158995,162.41139,-221.31847,0.15061577,9.18617,-541.2389,0.25261432,160.44604,-228.3549,0.466042,226.99762,5.646551,58.731003,0.05355749,0.30368993,68.798004,1,-230.48956,2063.94,92.15859985351562
4838.0,96.52862,-496.00943,0.32498246,84.62284,-559.46545,0.10545691,256.8794,-580.90076,0.1551234,9.649207,-543.6587,0.22184439,159.88329,-229.63312,0.2933475,227.79599,287.17386,371.7844,2.4637034,1.396613,148.02834,1,-402.28543,4440.8496,76.62139129638672
4839.0,167.32224,-274.47586,0.51728904,159.3091,-280.03513,0.2848461,158.5487,-279.83533,0.14310862,9.4293585,-543.6944,0.22498457,159.97647,-229.57236,0.28255433,232.57011,289.23926,316.71646,0.22272922,0.111244604,170.77643,1,-241.87463,5123.2925,99.29071807861328
4840.0,168.57147,-274.1462,0.58053774,159.12341,-277.8524,0.21447408,167.09637,-222.30643,0.12620668,8.953941,-541.3215,0.22203642,159.53598,-229.91508,0.23901531,1.2919996,2.190623,58.160442,2.4200814,0.55811673,6.6780486,0,-229.4603,200.34145,101.54547119140625
4841.0,168.77853,-276.1159,0.5081392,159.16985,-277.75537,0.15753567,296.0236,-499.61792,0.12662002,9.348222,-543.6196,0.20416169,166.08759,-278.89526,0.18570597,1.9805497,0.10755445,305.81677,2.3317335,49.41641,41.786842,1,-295.55283,1253.6052,225.92591857910156
